breed_name,animal_type,milk_yield_min,milk_yield_max,scientific_name,characteristics
# Cattle Breeds
Gir,DAIRY,1200,2500,Bos taurus indicus,"Heat tolerant, disease resistant, distinctive domed forehead"
Sahiwal,DAIRY,1500,3000,Bos taurus indicus,"High milk yield, heat tolerant, reddish brown color"
Red Sindhi,DAIRY,1200,2200,Bos taurus indicus,"Compact size, heat tolerant, red color with white markings"
Tharparkar,DUAL_PURPOSE,1000,2500,Bos taurus indicus,"Dual purpose, drought tolerant, white to light grey color"
Rathi,DUAL_PURPOSE,1000,1800,Bos taurus indicus,"Medium size, heat tolerant, white with brown patches"
Hariana,DUAL_PURPOSE,800,1500,Bos taurus indicus,"Draught and milk, greyish white color, compact build"
Kangayam,DRAUGHT,400,800,Bos taurus indicus,"Excellent draught animal, red color, strong build"
Hallikar,DRAUGHT,300,600,Bos taurus indicus,"Superior draught breed, grey color, active temperament"
Amritmahal,DRAUGHT,200,500,Bos taurus indicus,"Excellent draught, grey color, compact and sturdy"
Khillari,DRAUGHT,300,700,Bos taurus indicus,"Fast draught animal, grey to white color, medium size"
Deoni,DUAL_PURPOSE,800,1500,Bos taurus indicus,"Dual purpose, spotted black and white, medium size"
Krishna Valley,DUAL_PURPOSE,600,1200,Bos taurus indicus,"Dual purpose, black color, medium to large size"
Ongole,DUAL_PURPOSE,800,1800,Bos taurus indicus,"Large size, white color, heat tolerant"
Punganur,DAIRY,200,400,Bos taurus indicus,"Dwarf breed, high fat content milk, brown color"
Vechur,DAIRY,100,300,Bos taurus indicus,"Smallest cattle breed, high medicinal value milk"

# Buffalo Breeds  
Murrah,DAIRY,1500,3500,Bubalus bubalis,"Highest milk yield, jet black color, curved horns"
Nili-Ravi,DAIRY,1800,4000,Bubalus bubalis,"High milk yield, black with white markings, wall eyes"
Surti,DAIRY,1200,2500,Bubalus bubalis,"Compact size, brownish black, suitable for urban areas"
Jaffarabadi,DAIRY,1000,2800,Bubalus bubalis,"Large size, jet black color, long curved horns"
Mehsana,DAIRY,1200,2200,Bubalus bubalis,"Medium size, jet black, developed through crossbreeding"
Bhadawari,DUAL_PURPOSE,600,1000,Bubalus bubalis,"Small size, copper colored, suitable for hilly areas"
Nagpuri,DUAL_PURPOSE,800,1200,Bubalus bubalis,"Medium size, black color, good for draught work"
Toda,DUAL_PURPOSE,400,800,Bubalus bubalis,"Hill breed, reddish brown, adapted to Nilgiri hills"
